ID,Attribute,Artist,Album Name,Price,Spec,Goodness,Condition,Category,Year
R00126129,Vinyl,KARL ERIKSON,Aerogramme,$7.00,UAS 5665,Very Good (VG),Sleeve Condition,Good Plus (G+),1973
00050718,Vinyl,KINGSTON TRIO,The Best Of,$8,T-1705,Very Good Plus (VG+),Sleeve Condition,Near Mint (NM or M-),1962
R00122996,Vinyl,KINGSTON TRIO,At Large,$5,T1199,Good Plus (G+),Sleeve Condition,Good Plus (G+),1959
00074961,Vinyl,KNUCKLES O'TOOLE,Plays The Greatest All-Time Ragtime Hits,$10,GA 33-373,Very Good Plus (VG+),Sleeve Condition,Good Plus (G+),1958
00046650,Vinyl,LAURA OLSHER,The Little Engine That Could!,$7,1259,Very Good Plus (VG+),Sleeve Condition,Near Mint (NM or M-),1964
00047611,Vinyl,LEON BIBB,Sings Folk Songs,$7,VRS 9041,Good Plus (G+),Sleeve Condition,Good Plus (G+),1958
00028682,Vinyl,LEON MARIAN,Plays Fiorello!,$10,CELP-459,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1959
00061193,Vinyl,MAHALIA JACKSON,The Newport Jazz Festival 1958,$8,840 025 BY,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1958
R00123162,Vinyl,MANNY ALBAM AND HIS ORCHESTRA,Jazz Goes To The Movies,$7, A-19 ,Near Mint (NM or M-),Sleeve Condition,Very Good (VG),1962
R00122119,Vinyl,MARK SPOELSTRA,The Songs Of Mark Spoelstra (With Twelve String Guitar),$19,FA 2444,Good Plus (G+),Sleeve Condition,Good Plus (G+),1963
R00123008,Vinyl,MARTY ROBBINS,More Greatest Hits,$5,CL 1635,Very Good (VG),Sleeve Condition,Good Plus (G+),1961
R00123018,Vinyl,MARTY ROBBINS,Marty's Greatest Hits,$8,CS 8639,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1962
00007473,Vinyl,MAX FERGUSON,Rawhide A Satire,$10,FP86-2,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1955
00011319,Vinyl,MAX FERGUSON,Rawhide 2,$25,FS 3872,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1957
00050077,Vinyl,MEL DAVIS SEXTET,Shoot The Trumpet Player,$14,S/2070,Very Good Plus (VG+),Sleeve Condition,Near Mint (NM or M-),1963
00002387,Vinyl,MICHAEL FLANDERS AND DONALD SWANN,At The Drop Of A Hat,$10,S 35797,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1959
00057163,Vinyl,MISSING PERSONS,Spring Session M,$11.00,ST-12228,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1982
00039643,Vinyl,NED LANDRY,Ned Landry And His Fiddle,$8,A-610,Near Mint (NM or M-),Sleeve Condition,Near Mint (NM or M-),1964
00120814,Vinyl,NEIL DIAMOND,The Jazz Singer,$14,SWAV-12120,Near Mint (NM or M-),Sleeve Condition,Near Mint (NM or M-),1980
R00126097,Vinyl,NEIL DIAMOND,Tap Root Manuscript,$6.00,MCAD-37196,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1985
00120816,Vinyl,PAT BENATAR,In The Heat Of The Night,$8,CHR 1236,Near Mint (NM or M-),Sleeve Condition,Very Good (VG),1979
R00122225,Vinyl,PAT BENATAR,Live From Earth,$7,FV 41444,Near Mint (NM or M-),Sleeve Condition,Very Good (VG),1983
R00126329,Vinyl,PAUL LANGILLE,Can't Stand Still,$8.00,LAD 2020,Very Good (VG),Sleeve Condition,Good Plus (G+),1983
R00121134,Vinyl,PETER PAUL AND MARY,Moving,$8,WS 1473,Very Good (VG),Sleeve Condition,Good (G),1963
R00123085,Vinyl,PETER PAUL AND MARY,Peter Paul And Mary,$8, WS 1449 ,Good Plus (G+),Sleeve Condition,Good (G),1962
00040035,Vinyl,RAY KOERNER,"Lots More Blues, Rags And Hollers",$18,EKS-7267,Near Mint (NM or M-),Sleeve Condition,Near Mint (NM or M-),1964
00120892,Vinyl,ROBERT PALMER,Riptide,$14, ISL 1066,Near Mint (NM or M-),Sleeve Condition,Good Plus (G+),1985
R00123663,Vinyl,ROY ORBISON,Roy Orbison's Greatest Hits,$6,XM 4009,Very Good (VG),Sleeve Condition,Very Good (VG),1962
00059894,Vinyl,SANDY NELSON,Drums Are My Beat!,$12,LP 9168,Very Good (VG),Sleeve Condition,Very Good Plus (VG+),1962
R00126327,Vinyl,SCRIABIN,Yevgeny Svetlanov*   U.s.s.r. Symphony Orchestra* - The Divine Poem (Symphony No. 3),$5.50,SR-40098,Near Mint (NM or M-),Sleeve Condition,Near Mint (NM or M-),1969
R00126319,Vinyl,SERGIO MENDES,Confetti,$4.5,SP-4984,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1984
R00126323,Vinyl,SERGIO MENDES,Brasil 86,$12.00,SP-5135,Near Mint (NM or M-),Sleeve Condition,Near Mint (NM or M-),1986
R00126328,Vinyl,"SHOSTAKOVICH, U.S.S.R. SYMPHONY ORCHESTRA, YEVGENY SVETLANOV",Symphony No. 10 In E Minor (Op. 93),$7.00,SR-40025,Near Mint (NM or M-),Sleeve Condition,Near Mint (NM or M-),1967
00032063,Vinyl,SOMERS; PAPINEAU-COUTURE; ADASKIN,Contemporary Canadian Music,$25,ML 5685,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1961
R00121693,Vinyl,SPLIT ENZ,Time And Tide,$11,SP-4894,Near Mint (NM or M-),Sleeve Condition,Very Good (VG),1982
R00123582,Vinyl,SPLIT ENZ,True Colours,$22,SP-4822,Near Mint (NM or M-),Sleeve Condition,Near Mint (NM or M-),1980
R00123684,Vinyl,SPLIT ENZ,Conflicting Emotions,$6,SP-4963,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1984
R00125701,Vinyl,SPLIT ENZ,True Colours Red Cover,$21.50,SP 4822,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1980
R00126244,Vinyl,SPLIT ENZ,See Ya 'Round,$16.00,SP 9126,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1984
R00126245,Vinyl,SPLIT ENZ,Frenzy,$5.75,SP 69827,Very Good Plus (VG+),Sleeve Condition,Near Mint (NM or M-),1981
